Model,Features,CV_Mean,CV_Std,Test_Acc,AUC_ROC,Tuned
Logistic Regression,Original (5),0.459,0.0833,0.3077,0.4286,No
Random Forest,Original (5),0.441,0.1477,0.2308,0.2381,No
SVM (RBF),Original (5),0.4256,0.093,0.3077,0.6667,No
KNN (k=5),Original (5),0.4577,0.1578,0.3846,0.3333,No
Logistic Regression,Polynomial (20),0.4256,0.0557,0.2308,0.4048,No
Random Forest,Polynomial (20),0.4282,0.1651,0.2308,0.1905,No
SVM (RBF),Polynomial (20),0.3923,0.117,0.3846,0.6429,No
KNN (k=5),Polynomial (20),0.4731,0.1598,0.4615,0.381,No
KNN (Tuned),Original (5),0.5844,0.0839,0.3846,,Yes
Random Forest (Tuned),Original (5),0.52,0.1372,0.3077,,Yes
